NAME	cluster dominant cell type	supercluster for LDSC-SEG	X	Y
40	CD4+ T cell	NK/T	7.446718416972364	-3.3731519337404015
41	CD4+ T cell	NK/T	6.665645935037565	-2.666278595950823
42	CD8+ CXCR4+ T cell	NK/T	5.30388117029685	-4.959500213879387
43	CD4+ T cell	NK/T	7.348275827971614	-1.3295688707212105
44	CD4+ T cell	NK/T	7.050047389241339	-3.4819443013579563
45	CD4+ T cell	NK/T	7.0499703703695715	-1.786415015901579
46	CD8+ GNLY+ T cell	NK/T	2.325109991459757	-4.886788025162388
47	CD4+ T cell	NK/T	7.226423808795456	-1.4223665607149516
48	CD8+ CXCR4+ T cell	NK/T	4.970748321947578	-3.5589033861480655
49	B cell	B lineage	-8.670580851437697	-12.019797786382567
50	CD4+ T cell	NK/T	7.558470714204276	-1.8016859247485302
51	CD8+ CXCR4+ T cell	NK/T	5.242428311854113	-5.7213628581844045
52	CD4+ T cell	NK/T	6.033268879325749	-2.7456327339357536
53	CD8+ CXCR4+ T cell	NK/T	5.886777389623036	-2.8568940584410036
54	CD8+ CXCR4+ T cell	NK/T	5.270920939914132	-5.081573238994027
55	CD4+ T cell	NK/T	7.313299065966642	-1.4355098773590482
56	CD8+ GNLY+ T cell	NK/T	2.625095453872624	-5.604902252879167
57	CD4+ T cell	NK/T	8.323354702392908	-1.8181010603929364
58	CD4+ T cell	NK/T	7.254552115011783	-1.700433001544726
59	CD4+ T cell	NK/T	7.923329578260685	-1.8006696622550982
60	CD8+ CXCR4+ T cell	NK/T	5.048268169559848	-5.12242946739329
61	CD4+ T cell	NK/T	7.494698939641273	-3.3101375497500993
62	CD4+ T cell	NK/T	7.364841522058049	-1.8244743628762952
63	CD4+ T cell	NK/T	6.857143858670356	-1.2921803836976782
64	B cell	B lineage	-8.741389522124843	-11.743588077007294
65	CD4+ T cell	NK/T	7.4436885404163196	-1.5652041686673648
66	CD8+ GNLY+ T cell	NK/T	4.918961116144265	-5.267632758918017
67	CD8+ CXCR4+ T cell	NK/T	2.4625102831418317	-4.973462798720127
68	CD4+ T cell	NK/T	6.6385205807680485	-2.272634289170508
69	CD4+ T cell	NK/T	6.724553303390464	-3.052120309948194
70	CD4+ T cell	NK/T	7.179263775591595	-3.605428261001201
71	CD4+ T cell	NK/T	8.167264543388082	-3.308420209804373
72	CD4+ T cell	NK/T	7.4337500100169995	-1.0934651566194487
73	CD16+ NK cell	NK/T	2.6523313803991195	-5.830552782828134
74	CD8+ GNLY+ T cell	NK/T	3.5065799429247533	-5.742052808429381
75	CD4+ T cell	NK/T	7.188149352849744	-1.9255407033213356
76	CD4+ T cell	NK/T	8.046716608479825	-1.4430686786567943
77	CD4+ T cell	NK/T	7.432314613406562	-1.514630415229127
78	CD4+ T cell	NK/T	7.756143103066418	-1.3552772434097757
79	CD8+ CXCR4+ T cell	NK/T	4.903839425149704	-4.814838344913213
80	CD8+ PD1+ T cell	NK/T	5.91151653325287	-3.201412270383157
81	CD4+ T cell	NK/T	6.948205344127006	-2.880976514754644
82	CD8+ GNLY+ T cell	NK/T	3.8297775590084835	-5.985041620015805
83	CD4+ T cell	NK/T	7.898638241289762	-3.24439223384955
84	CD4+ T cell	NK/T	6.771162701136404	-1.997262683781872
85	CD8+ CXCR4+ T cell	NK/T	4.600011944535237	-4.996270966299656
86	CD8+ CXCR4+ T cell	NK/T	4.4991839793721535	-3.126394188899871
87	CD4+ T cell	NK/T	7.694107665987063	-2.523519987440022
88	CD8+ CXCR4+ T cell	NK/T	4.788423641021892	-5.8351134918181895
89	CD8+ CXCR4+ T cell	NK/T	2.8654876541338905	-5.477508794902935
90	CD16+ NK cell	NK/T	3.3820612214026764	-6.152474237731328
91	CD8+ GNLY+ T cell	NK/T	3.2252789726129687	-6.427076237427407
92	CD8+ CXCR4+ T cell	NK/T	5.44524718939338	-4.099061439865725
93	CD4+ T cell	NK/T	8.10335654118982	-1.706835796532707
94	CD8+ CXCR4+ T cell	NK/T	5.073513585746961	-4.9727964748945634
95	CD8+ CXCR4+ T cell	NK/T	4.637012315936855	-5.153273691112221
96	CD8+ CXCR4+ T cell	NK/T	5.400295606545189	-4.124321206861534
97	CD8+ CXCR4+ T cell	NK/T	5.239884728482156	-5.397670710453154
98	plasmablast	B lineage	-6.062726696413657	-11.504312827866084
99	plasmablast	B lineage	-6.2160904976764515	-11.2998437899738
100	CD8+ CXCR4+ T cell	NK/T	5.059902491384169	-5.442023952907162
101	CD4+ T cell	NK/T	7.725555180447123	-2.29393162968663
102	CD4+ T cell	NK/T	8.280083699789797	-1.9100672042083076
103	CD4+ T cell	NK/T	7.2044896097756	-1.9688159450587719
104	CD8+ GNLY+ T cell	NK/T	4.855410733080416	-5.854662658420956
105	CD16+ NK cell	NK/T	3.326544287019995	-5.942863921780475
106	CD8+ CXCR4+ T cell	NK/T	6.313918638404229	-2.6124063881011566
107	CD4+ T cell	NK/T	7.53451411965903	-1.3809583546352446
108	B cell	B lineage	-8.479401406270744	-11.70659536588586
109	CD16+ NK cell	NK/T	3.089398097901705	-6.641454307559515
110	CD8+ CXCR4+ T cell	NK/T	4.233648039377968	-4.153223533042398
111	CD4+ T cell	NK/T	6.719621667504803	-1.9487164145318445
112	CD8+ CXCR4+ T cell	NK/T	4.341777975366012	-5.455381405717626
113	CD4+ T cell	NK/T	8.031704203684317	-1.7822452737749046
114	CD4+ T cell	NK/T	7.806475991932968	-2.5778994452868833
115	CD8+ CXCR4+ T cell	NK/T	5.220727436064667	-6.036537632896394
116	CD4+ T cell	NK/T	5.143365450277148	-3.9789753401632972
117	CD4+ T cell	NK/T	7.248940893379234	-1.5225550974854467
118	CD8+ PD1+ T cell	NK/T	3.9503125807672377	-3.331973983378864
119	CD4+ T cell	NK/T	8.189854548019023	-3.4309956323895494
120	CD4+ T cell	NK/T	7.3006884028406605	-2.5704060342852983
121	CD4+ T cell	NK/T	7.056883249154122	-1.601649697307336
122	CD4+ T cell	NK/T	7.483067484817154	-1.5742790563379723
123	CD4+ T cell	NK/T	7.843892469517027	-2.1755100877039935
124	CD4+ T cell	NK/T	7.470470163883671	-2.1911432877740284
125	CD4+ T cell	NK/T	7.881432643750091	-2.263956050032335
126	CD8+ GNLY+ T cell	NK/T	4.511956925439821	-4.7106745951054645
127	B cell	B lineage	-8.650557430730546	-11.818990232298088
128	CD4+ T cell	NK/T	7.601895847683159	-2.7525387891974837
129	CD8+ CXCR4+ T cell	NK/T	4.730380785197868	-4.028449353409059
130	CD8+ GNLY+ T cell	NK/T	3.470579665479881	-6.227549652566795
131	CD8+ GNLY+ T cell	NK/T	3.3774801058636283	-6.356514435677166
132	CD8+ CXCR4+ T cell	NK/T	5.13785413133457	-5.262473853806586
133	CD8+ PD1+ T cell	NK/T	5.3254133560600545	-3.7247786699666294
134	B cell	B lineage	-8.850398826080738	-11.839147277587053
135	CD4+ T cell	NK/T	7.394257928662034	-3.3018539499299733
136	CD8+ CXCR4+ T cell	NK/T	5.185127394712315	-5.197814259592134
137	CD8+ PD1+ T cell	NK/T	5.012623337947935	-5.944083811034197
138	CD4+ T cell	NK/T	7.8022218269436605	-1.5311787589938528
139	CD4+ T cell	NK/T	8.151552169728761	-1.6332989610122037
140	CD8+ CXCR4+ T cell	NK/T	4.958137242503447	-6.046459015906688
141	CD4+ T cell	NK/T	7.615117272310592	-1.4504326574763913
142	CD4+ T cell	NK/T	6.763752733168715	-1.7143551649860926
143	CD4+ T cell	NK/T	6.647159797070082	-2.702592342677684
144	plasmablast	B lineage	-6.6482066906195385	-11.456599926194913
145	CD8+ CXCR4+ T cell	NK/T	-8.39249544366792	-11.654410619682665
146	CD8+ CXCR4+ T cell	NK/T	4.021690969362147	-4.591941662129923
147	CD4+ T cell	NK/T	7.110295228358335	-1.9737074864336805
148	CD4+ T cell	NK/T	7.060729787322705	-1.5552948888268274
149	CD8+ GNLY+ T cell	NK/T	3.4441155943046624	-6.263777640498045
150	CD8+ CXCR4+ T cell	NK/T	4.650914813327877	-4.378047821642786
151	CD8+ PD1+ T cell	NK/T	3.00144650894639	-3.5686286016679416
152	CD4+ T cell	NK/T	6.73459651963424	-1.4802493942998658
153	CD4+ T cell	NK/T	7.433555404824689	-2.7228734694244117
154	CD8+ CXCR4+ T cell	NK/T	5.1336855744747005	-3.7334475005133134
155	CD4+ T cell	NK/T	7.304812749707939	-1.6832170680850351
156	CD8+ CXCR4+ T cell	NK/T	5.283097610413964	-5.313559411921988
157	CD8+ GNLY+ T cell	NK/T	3.3920662707070997	-6.107651424094765
158	CD8+ CXCR4+ T cell	NK/T	2.5694863095833123	-5.265951794665986
159	CD4+ T cell	NK/T	8.062806682357822	-2.6118116865526275
160	CD8+ PD1+ T cell	NK/T	3.6834429141369696	-4.8379000528500455
161	CD8+ GNLY+ T cell	NK/T	3.6146302676832875	-5.459014686976012
162	CD4+ T cell	NK/T	7.606959550651461	-1.6201519995711786
163	CD8+ CXCR4+ T cell	NK/T	4.496066106990112	-5.76189529159651
164	CD8+ GNLY+ T cell	NK/T	2.200977309025005	-5.231529428655431
165	CD4+ T cell	NK/T	8.209005402329849	-1.7683835562116477
166	CD8+ CXCR4+ T cell	NK/T	5.383994162851704	-4.3841965019911715
167	CD4+ T cell	NK/T	7.416112530463175	-3.0728205568597824
168	CD8+ GNLY+ T cell	NK/T	3.355369128894999	-6.170808394245569
169	CD16+ NK cell	NK/T	2.9593045791670334	-6.52876457893494
170	CD4+ T cell	NK/T	7.21018426200103	-2.36934201468338
171	prostate cancer cell	prostate cancer	-9.859258354565329	15.972100716312303
172	prostate cancer cell	prostate cancer	-9.880766804980693	15.993555518072165
173	prostate cancer cell	prostate cancer	-9.841847916791723	15.954588199139918
174	neutrophil	neutrophil	-8.297328546666149	-2.777679091491563
175	prostate cancer cell	prostate cancer	-9.856387202896494	15.969152691451663
176	prostate cancer cell	prostate cancer	-9.787769380480974	15.901165308281
177	prostate cancer cell	prostate cancer	-9.868239658625422	15.981582362946922
178	neutrophil	neutrophil	-8.389351651499652	-2.882502777005988
179	prostate cancer cell	prostate cancer	-9.76941411310022	15.882108431271137
180	prostate cancer cell	prostate cancer	-9.73151396748067	15.844198892317133
181	prostate cancer cell	prostate cancer	-9.716613734395983	15.829428700565868
182	prostate cancer cell	prostate cancer	-9.779906414742342	15.892600880803558
183	macrophage	monocyte/macrophage	-3.265440106061959	-2.468837666453507
184	prostate cancer cell	prostate cancer	-9.788038741964195	15.901453928845049
185	CD4+ T cell	NK/T	6.465763400185844	-1.4482626490611894
186	macrophage	monocyte/macrophage	-3.278586157654406	-2.4242311060869914
187	prostate cancer cell	prostate cancer	-9.698568672547847	15.811385087491773
188	prostate cancer cell	prostate cancer	-1.7967097031956678	8.068573581664703
189	prostate cancer cell	prostate cancer	-1.5970938200493472	8.148601822341103
190	prostate cancer cell	prostate cancer	-2.01924825886146	8.544444391645547
191	prostate cancer cell	prostate cancer	-1.3275204155318638	6.982970850503909
192	prostate cancer cell	prostate cancer	-2.7461166100620917	7.453504533995385
193	prostate cancer cell	prostate cancer	-3.3862092697119865	7.1684818487347215
194	prostate cancer cell	prostate cancer	-1.2987782306661688	7.328131277071844
195	prostate cancer cell	prostate cancer	-1.756623739499582	8.32268152122848
196	prostate cancer cell	prostate cancer	-2.0962756180810835	7.162736851137266
197	prostate cancer cell	prostate cancer	-1.2544375676544242	8.586427026914961
198	prostate cancer cell	prostate cancer	-1.1524587645943778	8.293380928214116
199	prostate cancer cell	prostate cancer	-1.3134002345787088	8.372153022342344
200	prostate cancer cell	prostate cancer	-1.2416950232359845	7.464793304639967
201	prostate cancer cell	prostate cancer	-0.9823529005219627	7.672262990188123
202	prostate cancer cell	prostate cancer	-2.537142646196308	7.231999311207083
203	prostate cancer cell	prostate cancer	-1.6512602803168714	7.824520732255317
204	prostate cancer cell	prostate cancer	-3.361055949112569	8.454649483575944
205	prostate cancer cell	prostate cancer	-1.8893859247771574	7.323823256552606
206	prostate cancer cell	prostate cancer	-1.7246186084157937	7.374220333323445
207	prostate cancer cell	prostate cancer	-3.0685070930637144	7.982678280587889
208	prostate cancer cell	prostate cancer	-2.261841819394369	8.688187053907363
209	prostate cancer cell	prostate cancer	-1.627187109810519	7.965983659189668
210	prostate cancer cell	prostate cancer	-3.0321059797283514	7.539730076060717
211	prostate cancer cell	prostate cancer	-2.2670351050001196	8.215568381106841
212	prostate cancer cell	prostate cancer	-3.009025018340562	8.714952682671463
213	prostate cancer cell	prostate cancer	-2.3418866124886186	6.860423657603324
214	prostate cancer cell	prostate cancer	-1.289866724345745	7.179977880536436
215	prostate cancer cell	prostate cancer	-1.3388977802511886	8.72974949270131
216	prostate cancer cell	prostate cancer	-3.229177435759345	8.235712130063181
217	prostate cancer cell	prostate cancer	-2.5102934777688515	8.885608254525232
218	prostate cancer cell	prostate cancer	-1.5289918368735633	7.508381745968746
219	prostate cancer cell	prostate cancer	-1.7205209514567983	7.812086363940139
220	prostate cancer cell	prostate cancer	-1.2971678987967596	7.651674129469342
221	prostate cancer cell	prostate cancer	-2.098705477453756	8.095359721037733
222	prostate cancer cell	prostate cancer	-1.3991001337460418	7.327628616962215
223	prostate cancer cell	prostate cancer	-1.4843199347240126	7.477739985750633
224	prostate cancer cell	prostate cancer	-1.6458031981534071	7.784352102427842
225	prostate cancer cell	prostate cancer	-1.7535732082088131	8.184975829241083
226	prostate cancer cell	prostate cancer	-3.1217028981848154	8.375246714628132
227	prostate cancer cell	prostate cancer	-2.635050819837251	7.102092666258651
228	prostate cancer cell	prostate cancer	-3.566614184959853	7.665545543304203
229	prostate cancer cell	prostate cancer	-1.162104759128628	7.266055092295463
230	prostate cancer cell	prostate cancer	-2.07216167576312	7.33697078162635
231	prostate cancer cell	prostate cancer	-2.154763931625525	7.598870964926283
232	prostate cancer cell	prostate cancer	-2.0184989047252393	7.247312076261709
233	prostate cancer cell	prostate cancer	-3.0807374960172984	8.405049583058936
234	prostate cancer cell	prostate cancer	-2.9182944545332563	8.086027250771428
235	prostate cancer cell	prostate cancer	-1.9873006478699988	7.228839098984137
236	prostate cancer cell	prostate cancer	-1.9338118895790042	7.359157149434774
237	prostate cancer cell	prostate cancer	-2.597301525272523	8.340029831275668
238	prostate cancer cell	prostate cancer	-1.0569573883761723	7.752570986977894
239	prostate cancer cell	prostate cancer	-2.2477230315476726	7.5771800402742375
240	prostate cancer cell	prostate cancer	-2.091891375197298	8.072809475717861
241	prostate cancer cell	prostate cancer	-1.187985022848449	8.575708552069823
242	prostate cancer cell	prostate cancer	-2.3770675522282896	8.023580557841496
243	prostate cancer cell	prostate cancer	-0.9040051404875764	7.955490974929843
244	prostate cancer cell	prostate cancer	-2.095745710143613	7.3009959326874245
245	prostate cancer cell	prostate cancer	-2.4380648329335446	6.8478571941230015
246	prostate cancer cell	prostate cancer	-3.281512051471066	7.453272004245035
247	prostate cancer cell	prostate cancer	-2.3680665359127544	7.991325183847163
248	prostate cancer cell	prostate cancer	-1.6722337443965543	8.174183614044477
249	prostate cancer cell	prostate cancer	-1.2425948824524733	8.302259369554625
250	prostate cancer cell	prostate cancer	-2.2126602028159215	7.283842193374529
251	prostate cancer cell	prostate cancer	-3.7044790248752295	7.238874452760905
252	prostate cancer cell	prostate cancer	-2.7727884355673806	7.216770092406746
253	prostate cancer cell	prostate cancer	-3.5963283480798864	8.05276704508523
254	prostate cancer cell	prostate cancer	-3.12911782769901	7.2524163035717795
255	prostate cancer cell	prostate cancer	-3.1949218599440545	8.11667577539232
256	prostate cancer cell	prostate cancer	-3.0190172369055417	8.066580282792245
257	prostate cancer cell	prostate cancer	-1.3435377518495994	8.456125224284268
258	prostate cancer cell	prostate cancer	-3.6430927598430913	7.5604879437015065
259	prostate cancer cell	prostate cancer	-3.5369238406020647	7.477532149968617
260	prostate cancer cell	prostate cancer	-1.5244695463203148	8.499900667156602
261	prostate cancer cell	prostate cancer	-2.4915967557600722	6.933768286635136
262	prostate cancer cell	prostate cancer	-1.2427296999260262	8.351883320000582
263	prostate cancer cell	prostate cancer	-3.0561397682423963	7.495933764073078
264	prostate cancer cell	prostate cancer	-2.6890790118974066	8.065337343039749
265	prostate cancer cell	prostate cancer	-3.0316135148201484	7.1946689612065935
266	prostate cancer cell	prostate cancer	-3.173869397169537	8.450310886055105
267	prostate cancer cell	prostate cancer	-1.7489252869694412	7.070497968187732
268	prostate cancer cell	prostate cancer	-2.822161186757323	7.742154869665235
269	prostate cancer cell	prostate cancer	-2.6627919221183607	7.312411192389197
270	prostate cancer cell	prostate cancer	-1.6990836444407784	7.715487970966061
271	prostate cancer cell	prostate cancer	-1.7777551665670261	7.965789488164546
272	prostate cancer cell	prostate cancer	-2.527224702538195	7.369970918627095
273	prostate cancer cell	prostate cancer	-2.162679158448696	7.369522664845713
274	prostate cancer cell	prostate cancer	-1.0780865823596264	7.498835099377393
275	prostate cancer cell	prostate cancer	-3.3936620780743096	7.158699412756123
276	prostate cancer cell	prostate cancer	-3.0890396526951154	7.342651190653825
277	prostate cancer cell	prostate cancer	-2.988830635211704	7.111320003331143
278	prostate cancer cell	prostate cancer	-1.4770797611578126	7.744875424849685
279	prostate cancer cell	prostate cancer	-2.314864009363007	7.155324121987009
280	prostate cancer cell	prostate cancer	-2.9673118138074566	7.982196059644265
281	prostate cancer cell	prostate cancer	-2.753056107329229	8.200167845189277
282	prostate cancer cell	prostate cancer	-2.4599772988131194	8.017752881904562
283	prostate cancer cell	prostate cancer	-3.5337076836651393	8.235423470665031
284	prostate cancer cell	prostate cancer	-1.4212367277097173	7.574512437018434
285	prostate cancer cell	prostate cancer	-1.5574248632301164	7.3410984570232145
286	plasma cell	B lineage	0.9589054579839502	-16.731479178956697
287	prostate cancer cell	prostate cancer	-2.5834340612451605	7.591425951427132
288	prostate cancer cell	prostate cancer	-1.5597870090285326	7.497711462843494
289	prostate cancer cell	prostate cancer	-2.7551731063649476	7.498446710953264
290	prostate cancer cell	prostate cancer	-2.1624027679607587	7.669940662359302
291	prostate cancer cell	prostate cancer	-2.323209224170221	7.694723248957009
292	prostate cancer cell	prostate cancer	-3.8187752232698933	7.518695372773623
293	prostate cancer cell	prostate cancer	-2.7993611027112975	6.983287310908171
294	prostate cancer cell	prostate cancer	-3.7342908434194593	7.361911594218071
295	prostate cancer cell	prostate cancer	-1.0382433372198003	7.984059116879388
296	prostate cancer cell	prostate cancer	-2.198904687590268	8.89897699509861
297	prostate cancer cell	prostate cancer	-3.1627339944483137	8.593581844450588
298	prostate cancer cell	prostate cancer	-2.454680967268166	7.627252679120039
299	prostate cancer cell	prostate cancer	-3.579277474945483	8.148884179765574
300	prostate cancer cell	prostate cancer	-1.624265850504317	7.298991514467353
301	prostate cancer cell	prostate cancer	-3.072110064422449	7.1335589512492295
302	prostate cancer cell	prostate cancer	-2.2399807072034053	8.834932282307946
303	prostate cancer cell	prostate cancer	-2.1954108684505247	7.854225933521695
304	prostate cancer cell	prostate cancer	-3.289125951107214	7.605244598717803
305	prostate cancer cell	prostate cancer	-3.750489982078432	7.584070915226485
306	prostate cancer cell	prostate cancer	-1.880081875528591	8.29781830592143
307	prostate cancer cell	prostate cancer	-3.4137876665531603	7.151700997283532
308	prostate cancer cell	prostate cancer	-2.149563641585846	7.62763131315279
309	prostate cancer cell	prostate cancer	-2.4963328513484444	8.36533400390779
310	prostate cancer cell	prostate cancer	-1.7519726574837173	7.1324494744856075
311	prostate cancer cell	prostate cancer	-1.9234552729592302	7.89825591445792
312	prostate cancer cell	prostate cancer	-3.453389921587299	8.460625390412172
313	prostate cancer cell	prostate cancer	-1.1045291296507704	8.451682247376459
314	prostate cancer cell	prostate cancer	-2.658358201911896	7.505862540032231
315	prostate cancer cell	prostate cancer	-3.1761923981816853	8.653775697957327
316	prostate cancer cell	prostate cancer	-1.8082522819479458	6.9095021255301745
317	prostate cancer cell	prostate cancer	-1.4815378997406636	8.485877931640239
318	prostate cancer cell	prostate cancer	-2.670802923568261	6.968250352224388
319	prostate cancer cell	prostate cancer	-2.415385293058722	8.236820678472236
320	prostate cancer cell	prostate cancer	-1.4702649350668142	8.348271373639108
321	prostate cancer cell	prostate cancer	-1.9425576327127219	7.433969809427648
322	prostate cancer cell	prostate cancer	-2.4437372965724546	8.716564779105651
323	prostate cancer cell	prostate cancer	-2.622332193579929	7.685736956649894
324	prostate cancer cell	prostate cancer	-1.5428075949938602	7.718267249398439
325	prostate cancer cell	prostate cancer	-2.49928513838955	7.933196036870681
326	prostate cancer cell	prostate cancer	-3.4543948255088344	7.953854278272402
327	prostate cancer cell	prostate cancer	-2.4410770066253753	8.544431267476845
328	prostate cancer cell	prostate cancer	6.723737669045168	3.3764012741450258
329	prostate cancer cell	prostate cancer	-2.995766054042361	7.141947299263025
330	prostate cancer cell	prostate cancer	-1.2633986001098718	7.434885930705978
331	prostate cancer cell	prostate cancer	-1.5297452115017323	7.974125217058273
332	prostate cancer cell	prostate cancer	-3.6547435657932055	7.874950182984566
333	prostate cancer cell	prostate cancer	-1.4891535549053567	7.931085582452811
334	prostate cancer cell	prostate cancer	-3.874666237597536	7.688275546099485
335	prostate cancer cell	prostate cancer	-1.8724741496960857	8.817207304092252
336	prostate cancer cell	prostate cancer	-3.9496212366533294	7.460376473877888
337	prostate cancer cell	prostate cancer	-2.6461044321257035	7.736549177441596
338	prostate cancer cell	prostate cancer	-1.4450411993088002	7.922688055098327
339	prostate cancer cell	prostate cancer	-2.330585872220168	7.817624926036363
340	prostate cancer cell	prostate cancer	-2.4016298651431094	7.751828239286594
341	prostate cancer cell	prostate cancer	-3.178598997928921	8.549751872487608
342	prostate cancer cell	prostate cancer	-1.4815767054602411	8.786370971981496
343	prostate cancer cell	prostate cancer	-2.745691812963037	7.882796059473687
344	prostate cancer cell	prostate cancer	-2.157884636802905	7.99004786292126
345	prostate cancer cell	prostate cancer	-1.0620897426358848	8.056534328965409
346	prostate cancer cell	prostate cancer	-2.798119513952775	8.039416578402744
347	prostate cancer cell	prostate cancer	-2.7836443974542666	6.933704376679005
348	prostate cancer cell	prostate cancer	-3.4241997100781494	7.228140473150713
349	prostate cancer cell	prostate cancer	-1.2545448116561109	7.7593067410174505
350	prostate cancer cell	prostate cancer	-2.8507629546935855	8.858501671151894
351	prostate cancer cell	prostate cancer	-2.599468447525006	9.000239856531062
352	prostate cancer cell	prostate cancer	-2.2506584680000836	7.103181989741511
353	prostate cancer cell	prostate cancer	-2.033972593798785	8.850757323631795
354	prostate cancer cell	prostate cancer	-2.0995140123779437	7.765757967529913
355	prostate cancer cell	prostate cancer	-2.61616185421922	7.028944726557038
356	prostate cancer cell	prostate cancer	-1.7435815514076196	8.453983582528883
357	prostate cancer cell	prostate cancer	-2.6821671749565534	8.003832161018488
358	prostate cancer cell	prostate cancer	-3.847360775307943	7.732111668290186
359	prostate cancer cell	prostate cancer	-2.212589645026875	7.797757104530078
360	prostate cancer cell	prostate cancer	-2.155685730627126	7.247674282505326
361	prostate cancer cell	prostate cancer	-1.9294753525313155	8.822573503293606
362	prostate cancer cell	prostate cancer	-1.9222808260417414	7.8096010647125045
363	prostate cancer cell	prostate cancer	-2.421347639323496	8.197849547429445
364	prostate cancer cell	prostate cancer	-3.7041919848580855	7.723594484728574
365	prostate cancer cell	prostate cancer	-3.5442843289287587	7.512293665029976
366	prostate cancer cell	prostate cancer	-3.062994808076237	7.674155382083148
367	prostate cancer cell	prostate cancer	-1.9355612891247302	7.793493827617082
368	prostate cancer cell	prostate cancer	-1.213079874753381	8.115646320538657
369	prostate cancer cell	prostate cancer	-1.5451590195499987	7.878063616443578
370	prostate cancer cell	prostate cancer	-2.8735784932666686	7.836620594555223
371	prostate cancer cell	prostate cancer	-3.526985112801078	7.6190445288977
372	prostate cancer cell	prostate cancer	-3.4615295956965983	7.45919763681089
373	prostate cancer cell	prostate cancer	-3.324898350214485	8.56618275071292
374	prostate cancer cell	prostate cancer	-2.380609871685673	7.274277400734986
375	prostate cancer cell	prostate cancer	-2.9871737959249205	8.62795855696802
376	prostate cancer cell	prostate cancer	-2.943448136419637	8.417392664394704
377	prostate cancer cell	prostate cancer	-1.6200165115455412	8.142068506445234
378	prostate cancer cell	prostate cancer	-2.3157536134781496	8.344765636308182
379	prostate cancer cell	prostate cancer	-3.3061764296072953	7.2266858831584475
380	prostate cancer cell	prostate cancer	-1.5653572287616435	8.609324341649923
381	prostate cancer cell	prostate cancer	-2.3465009409253614	9.03563307702149
382	prostate cancer cell	prostate cancer	-2.6744426295680634	7.055412842212403
383	prostate cancer cell	prostate cancer	-2.7425297978014798	8.25004332586907
384	prostate cancer cell	prostate cancer	-1.1734712564735768	7.593195695043502
385	prostate cancer cell	prostate cancer	-2.00598960776288	7.153236540127578
386	prostate cancer cell	prostate cancer	-1.4435721758325628	7.6455199779399745
